ObjId,range,speed,angle,snr,Kstate,OboCarSpeed,heigh,heighAngle,X,Y,EstimateCarSpeed,EstimateMagCarSpeed,FcwID0,FcwId1,FcwId2,FcwTTc,FcwPet,ObdCarYawRate,DaiShiYawRate,SelfCalcAngle,SenceFlag,SortFlag,trkReiablility,RadiusCurvature,Xaccel,Yaccel,AgcSw,AgcType,DbfMag,FrameIntervalTime,installAngleOffset,ObjLength,ObjWidth,x rms,y rms,vx rms,vy rms,ax rms,ay rms,A rms,MeasCounter,MAtr,AccX,AccY,AccZ,errorCode
START,FrameNb:0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020/07/01 17:27:33:897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.59E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,191.2,65,3.25,10,0,0,0,0,0,0,10.06,0,0,0,0,0,0,0,0,0,0,0,0,32767,0,0,0,0,147,52,-1,0,0,0,0,0,0,0,0,0,13212,0,0,0,0,101/102
27,1024,0,6.5,44,0,0,0,0,0,0,10.06,0,0,0,0,0,0,0,0,0,0,0,0,32767,0,0,0,0,240,52,-1,0,0,0,0,0,0,0,0,0,13212,0,0,0,0,101/102
28,10.2,0,6,45,0,0,0,0,0,0,10.06,0,0,0,0,0,0,0,0,0,0,0,0,32767,0,0,0,0,243,52,-1,0,0,0,0,0,0,0,0,0,13212,0,0,0,0,101/102
29,11.4,0.2,5.5,13,0,0,0,0,0,0,10.06,0,0,0,0,0,0,0,0,0,0,0,0,32767,0,0,0,0,163,52,-1,0,0,0,0,0,0,0,0,0,13212,0,0,0,0,101/102
30,18.6,3,-8.5,31,0,0,0,0,0,0,10.06,0,0,0,0,0,0,0,0,0,0,0,0,32767,0,0,0,0,205,52,-1,0,0,0,0,0,0,0,0,0,13212,0,0,0,0,101/102
31,19.6,3,-11,22,0,0,0,0,0,0,10.06,0,0,0,0,0,0,0,0,0,0,0,0,32767,0,0,0,0,189,52,-1,0,0,0,0,0,0,0,0,0,13212,0,0,0,0,101/102
32,21.6,3.2,-4.75,15,0,0,0,0,0,0,10.06,0,0,0,0,0,0,0,0,0,0,0,0,32767,0,0,0,0,170,52,-1,0,0,0,0,0,0,0,0,0,13212,0,0,0,0,101/102
33,22.8,3.2,-5,16,0,0,0,0,0,0,10.06,0,0,0,0,0,0,0,0,0,0,0,0,32767,0,0,0,0,173,52,-1,0,0,0,0,0,0,0,0,0,13212,0,0,0,0,101/102
34,23.6,3.2,-4.5,12,0,0,0,0,0,0,10.06,0,0,0,0,0,0,0,0,0,0,0,0,32767,0,0,0,0,166,52,-1,0,0,0,0,0,0,0,0,0,13212,0,0,0,0,101/102
35,34.6,-9.8,20,23,0,0,0,0,0,0,10.06,0,0,0,0,0,0,0,0,0,0,0,0,32767,0,0,0,0,183,52,-1,0,0,0,0,0,0,0,0,0,13212,0,0,0,0,101/102
