START,FrameNb:5000,,,
26,100.8,-11.2,6,13
27,110.2,0.8,-0.25,15
28,111.8,0.8,0.75,14
29,122.2,-11.4,1.75,12
30,147.6,1.4,5.25,17
31,159.6,1,5.75,7
32,171.8,-11.2,6,8
33,188,-11.2,4.25,10
34,196.4,-11.2,4.25,12
35,1024,-11.4,4.25,12
36,11.8,-11.2,-8,14
37,12.8,-11.2,-7,14
38,16,-11.2,-7,0
39,14.8,1,15.75,15
40,16.6,1,17,13
41,18,-11.2,-5.75,14
42,17.8,1,16.5,14
43,21.4,-9.6,34.75,14
44,23.2,-10,31.75,13
45,26.6,-10.4,27,12
46,28.8,-10.6,23.75,13
47,37,-11.2,-3.25,14
48,39,0.2,4.5,14
49,41.6,-11.2,-1,12
50,42.8,-11.2,-0.75,13
51,47.2,0.6,-8.25,14
52,59.2,9,-14,13
53,66.2,-11.2,-1,12
54,67.4,4,-1,9
55,69.2,1.6,0,14
56,69.8,4,-3.25,12
57,72.2,0.4,-4.75,14
58,79.2,-11.2,8,12
59,100.4,-11.2,7,12
END,Total:60,,,
START,FrameNb:5004,,,
2020/08/09 14:15:33:053,,,,
1.60E+12,,,,
0,9.4,-11,-11.5,20
1,9.4,-11,-4,19
2,12.8,-11.2,-8.25,21
3,14.4,1,13.75,20
4,30,-11.2,-4,17
5,36.8,-11.2,1,16
6,36.8,-11.2,-3.75,15
7,39.2,0.2,1.75,19
8,39.2,0.2,6.75,18
9,41.8,-11.2,-4,19
10,41.8,-11.2,4.5,17
11,46.8,0.6,-9.75,16
12,46.8,0.6,-4.75,14
13,55.6,-11.2,-1.5,12
14,55.6,-11.2,3.25,12
15,58.2,-11.2,-2.5,17
16,58.2,-11.2,3,15
17,59.6,9,-15.5,12
18,64,4,-6.5,13
19,64,-11.2,0.75,15
20,69,1.6,5.25,12
21,70,4,-3,14
22,71,-11.2,-5.25,5
23,72.6,-11.2,8.75,7
24,73.4,0.6,-4.75,16
25,80.4,-11.2,7.5,17
26,84.6,-11.2,9.75,15
27,85.2,6.8,-5.75,7
28,89.8,-11.2,12.25,6
29,97.4,-11.2,5.75,17
30,100,-11.2,6,14
31,110.2,0.8,3.75,16
32,111.8,0.8,0,16
33,120.4,-11.4,0.25,13
34,147.6,1.4,5.25,16
35,169.2,-11.2,-9.75,5
36,187,-11.2,5.75,9
37,195.6,-11.2,5.75,11
38,1024,-11.2,-7,0
39,11.8,-11.2,-8,14
40,14.8,1,16,14
41,16,1,15.75,13
42,17.2,1,17.5,14
43,18.4,1,16.75,14
44,21.6,-9.6,34,15
45,27.2,-10.4,27.5,14
46,32.6,-11.2,-3.25,12
47,36.2,-11.2,-2.75,14
48,39,0.2,3.75,14
49,41,-11.2,-0.25,14
50,47.2,0.6,-8.5,14
51,57.4,-11.2,-1.25,11
52,59.8,9,-14,14
53,64,-11.4,0,11
54,63.8,4,-3.75,14
55,69.4,1.6,-0.75,12
56,69.6,4,-2.25,4
57,73,0.6,-4.75,13
58,85.2,6.8,-6.25,11
59,99.8,-11.2,6.75,10
END,Total:60,,,
