START,FrameNb:5000,,,
7,27.2,-1.4,16.25,18
8,29,-0.8,13.75,12
9,29,-0.8,21.25,10
10,30,-10.6,-6.5,10
11,30,-10.6,0.75,9
12,36.6,3.8,-13.75,18
13,36.6,3.8,-8.75,16
14,46.2,-10.6,-3.5,17
15,47.8,-10.4,14,19
16,54.6,2.4,-0.25,19
17,59.8,0.8,4.5,16
18,60.6,0.6,18,8
19,61.6,-10.6,0.25,16
20,71,-10.4,13.75,11
21,80.2,0.8,-4.25,17
22,84.4,0.6,-3.5,13
23,87,1.6,1.25,17
24,87.8,0.6,-3,13
25,90.4,1.6,2.5,14
26,91.4,-10.6,-0.75,12
27,100,-10.6,0.75,12
28,100.6,4.8,-2,16
29,105,-10.6,7.5,16
30,107.6,4.8,-1.75,17
31,117,-10.6,9.25,8
32,118.8,-10.6,5.75,9
33,121.2,1.4,0.75,17
34,147.8,-10.6,7.75,10
35,180.2,2.2,4.75,10
36,184.4,2.2,3.5,15
37,1024,-10.6,-8.25,10
38,8,1.4,-54.75,14
39,11.2,2.4,-30.5,15
40,13,2.4,-25.25,14
41,12.6,-10.6,-8,9
42,13.6,2.4,-24.25,13
43,14,-10.4,-9.75,15
44,15,-10.6,-6,14
45,16.4,-10.6,-7,13
46,19.2,-2.4,32,14
47,20,-2.2,32,13
48,22,-10.6,-4.5,0
49,21.4,-2,28.5,13
50,22.4,0.6,9.5,12
51,22.4,-1.8,26.25,11
52,23.4,-1.6,22.5,14
53,23.6,0.6,9.5,6
54,24.4,-1.6,22.75,15
55,24.4,0.6,11.25,12
56,25.4,-1.6,22.75,12
57,25.2,0.6,10.25,10
58,25.8,0.6,7.5,7
59,26.6,-1.4,19.75,14
60,28,-1.2,17,15
61,30,-10.6,-3.75,13
62,36.6,3.8,-12,13
63,46.4,-10.6,-2,13
64,50,-10.4,14.75,10
65,51.2,-10.4,14.5,12
66,54.2,-10.6,0,14
67,54.4,2.6,0,14
68,55,2.6,3,12
69,56.6,1.2,-8,10
70,59,0.8,7,14
71,59.4,0.8,5,14
72,60.6,-10.6,0,4
73,79.2,0.6,-5,13
74,80.4,0.6,-4.25,13
75,86.8,1.6,0.25,14
76,88.8,1.6,2.25,11
77,101.4,4.8,-2.25,14
78,104.4,-10.6,7.25,13
END,Total:79,,,
START,FrameNb:5144,,,
2020/08/09 14:15:41:433,,,,
1.60E+12,,,,
0,15.4,-10.4,-10.5,19
1,15.4,-10.4,-6,16
2,22.2,-10.6,-7.75,3
3,22.2,-10.6,0,0
4,23,0.6,8,19
5,23,-1.8,20.5,10
6,27.2,-1.2,16.25,18
7,30,-10.6,-6.5,10
8,30,-10.6,0.75,9
9,36.6,3.8,-13.75,18
10,36.6,3.8,-8.75,16
11,46.2,-10.6,-3.5,17
12,47.8,-10.4,14,19
13,54.6,2.6,-0.25,19
14,54.6,-10.6,-2.25,0
15,59.8,0.8,4.5,16
16,60.6,0.6,12.75,4
17,61.4,35.6,-15,6
18,67.4,-10.4,13.25,13
19,74.4,-10.6,-0.25,14
20,80.2,0.6,-4,18
21,85.4,0.8,-4,11
22,87,1.4,0.25,18
23,87.8,0.6,-2,3
24,89.6,1.4,2,16
25,89.8,-10.6,1.25,8
26,96.6,-10.6,4.25,8
27,101.6,4.8,-3.5,17
28,103.4,-10.6,7,15
29,108.4,4.8,-2,18
30,122.2,-10.6,7.5,10
31,123.8,1.4,0.25,15
32,159.8,-10.6,4.75,10
33,179.2,2.2,4.75,8
34,185.2,2.2,4.25,11
35,1024,2.2,4.75,10
36,12.6,-10.6,-9.5,11
37,13.4,37.6,-24.5,1
38,12.8,2.4,-26,14
39,13.4,2.4,-24,15
40,14.4,-10.4,-10,14
41,19,-2.4,31.75,14
42,20,-2,31.75,14
43,21.2,-2,27.75,13
44,21.2,-10.6,-4.75,11
45,22.2,-1.8,26.25,14
46,22.4,0.6,9.25,11
47,22.8,-1.6,23.5,12
48,23.6,0.6,9.5,0
49,23.8,-1.6,23.5,13
50,24.4,0.6,11.25,10
51,24.6,-1.4,22.5,12
52,25.4,-1.6,22.25,14
53,26.4,-1.4,19,13
54,25.6,0.6,9,10
55,27.6,-1.2,18,17
56,27.4,-8.8,36.75,0
57,29.4,-10.6,-3.25,6
58,36.8,3.8,-12,13
59,45.8,-10.6,-2,15
60,49.4,-10.4,15.25,11
61,50.8,-10.4,14.25,14
62,53.4,-10.6,1,13
63,54.6,2.6,0.25,15
64,55.2,2.6,2.5,11
65,59.2,0.8,6.75,14
66,59.6,-10.6,0.5,5
67,60.6,9.2,-14.75,10
68,79.2,0.6,-5,13
69,80.4,0.6,-5,14
70,86.8,1.6,0.75,14
71,89.6,1.4,2.75,11
72,101.6,4.8,-2,13
73,103.8,-10.6,7.5,11
END,Total:74,,,
START,FrameNb:5145,,,
2020/08/09 14:15:41:494,,,,
1.60E+12,,,,
0,11,2.4,-25,14
1,11,2.4,-29.75,15
2,13.6,-10.4,-7.75,14
3,22.2,-1.8,28,1
4,23,0.6,7.75,19
5,23,-1.4,18.5,5
6,27.2,-1.2,15.5,21
7,27.2,-1.2,21.75,18
8,39.4,-10.2,18,15
9,50.4,-10.4,12.75,20
10,53,-10.6,11.75,13
11,53,-10.6,-2.75,11
12,54.6,2.6,-0.75,20
13,54.6,2.6,5,18
14,58.8,0.8,4.5,19
15,58.8,0.8,11.75,18
16,61.4,9.2,-15,6
17,67.4,8.6,-8.25,6
18,67.4,-10.6,1.25,12
19,74.4,-10.6,-0.25,14
20,80.2,0.6,-4,18
21,85.4,0.6,-4,11
22,87,1.4,0.25,18
23,87.8,0.6,-2,3
24,89.6,1.4,2,16
25,89.8,-10.6,1.25,8
26,96.6,-10.6,4.25,8
27,101.6,4.8,-3.5,17
28,103.4,-10.6,7,15
29,106,-10.6,2.5,13
30,108.4,4.8,-2,18
31,114.4,-10.6,-0.75,9
32,122.2,-10.6,7.5,10
33,123.8,1.4,0.25,15
34,131.6,-10.6,5.25,9
35,159.8,-10.6,4.75,10
36,179.2,2.2,4.75,8
37,185.2,2.2,4.25,11
38,1024,2.4,-26,14
39,11.8,-10.6,-9.75,3
40,12.6,2.4,-24.75,13
41,13.6,-10.6,-9,6
42,13.4,2.4,-23.5,12
43,20.2,-10.6,-5,0
44,19.2,-2.2,31.25,16
45,20,-2,31,16
46,20.8,-2,29.25,14
47,22,-1.6,25.5,15
48,22.4,0.6,9,14
49,23.4,-1.4,21.75,11
50,23.4,0.6,10,1
51,23,-1.6,24.75,15
52,24.4,0.6,11,12
53,24.6,-1.4,20.5,16
54,25.8,0.6,7.5,8
55,26.8,-8.8,37.75,10
56,26.4,-1.2,18.75,14
57,28.6,-10.6,-3.5,9
58,27.4,-1.2,18,15
59,37.4,-10.6,-2.5,13
60,37.2,3.8,-11.75,14
61,45,-10.6,-1.75,15
62,48.2,-10.4,15.25,10
63,49.6,-10.4,14.5,12
64,50.6,-10.4,14.5,12
65,51.6,-10.6,11.25,13
66,54.8,2.6,0,15
67,59.4,1,5.75,14
68,61.2,9.2,-15,12
69,66.2,-10.6,0.25,11
70,68,8.6,-9.25,10
71,73.4,-10.4,14,9
72,79,0.6,-4.5,15
73,80.4,0.6,-4.5,14
74,87,1.6,1,14
75,89.6,1.4,2.75,13
76,101.8,4.8,-2,11
77,102.2,4.8,0,14
78,107,-4.8,67.25,13
END,Total:79,,,
START,FrameNb:5146,,,
2020/08/09 14:15:41:564,,,,
1.60E+12,,,,
0,11,2.4,-25,14
1,11,2.4,-29.75,15
2,13.6,-10.4,-7.75,14
3,13.6,-10.4,-13.75,15
4,13.6,-10.4,-5.75,14
5,18.8,-2.2,31.5,13
6,22.2,-1.8,28,1
7,23,0.6,7.75,19
8,23,-1.4,18.5,5
9,27.2,-1.2,15.5,21
10,27.2,-1.2,21.75,18
11,37.4,3.6,-13.75,19
12,39.4,-10.2,18,15
13,45.2,-10.6,-3.75,20
14,54.6,2.6,-0.75,20
15,54.6,2.6,5,18
16,58.8,0.8,4.5,19
17,58.8,0.8,11.75,18
18,61.4,9.2,-14.5,7
19,66.6,-10.6,0,13
20,72.6,-10.4,12.75,15
21,80.2,0.8,-4,17
22,87,1.4,0.25,16
23,87.8,0.6,-4.75,9
24,88,-10.6,-0.25,7
25,90.4,1.4,1.25,11
26,91.4,0.8,-2,12
27,94.8,0.8,-4,8
28,95.6,-10.6,8.25,10
29,102.4,4.8,-3.5,15
30,102.6,-10.6,6,0
31,104.2,-10.6,0.75,7
32,109.2,4.8,-3,15
33,122,1.6,1.75,14
34,123,-10.6,7.75,6
35,129.8,-10.6,5.25,9
36,158,-10.6,4.75,15
37,180.2,2.2,3.5,12
38,1024,2.4,-26,14
39,12.2,2.4,-25.5,14
40,11.6,-10.6,-8.5,11
41,13,-10.6,-10,14
42,13.6,2.4,-23.75,13
43,19,-2,30.5,15
44,19.2,-10.6,-4,0
45,19.6,-2,30,10
46,20.2,-10.6,-6,13
47,21.4,-1.8,27,15
48,22.6,0.6,8.75,14
49,22.6,-1.4,22.25,12
50,23.8,-7.8,45,0
51,23.4,-1.4,22,14
52,24,-1.4,23,14
53,24,0.6,10,10
54,26.2,-8.6,39,2
55,25.2,0.6,9.75,7
56,25.8,-1.2,19.25,15
57,27,-1,17,15
58,26.4,-10.6,-3.75,13
59,28.6,-1,16,14
60,36.6,-10.6,-2.5,13
61,37.6,3.8,-12.5,13
62,44.2,-10.6,-2,15
63,48.4,-10.4,14.5,13
64,49.4,-10.4,14,13
65,50.4,-10.4,14,13
66,55,2.8,-0.25,15
67,59.4,1,5.75,15
68,61.4,9.2,-14.75,11
69,72.6,-10.4,14,11
70,79.2,0.6,-4.5,12
71,80.6,0.6,-4,15
72,87,1.4,1,14
73,89.8,1.4,3,13
74,102,5,-1,12
75,106.6,-5,68.25,11
END,Total:76,,,
START,FrameNb:5147,,,
2020/08/09 14:15:41:625,,,,
1.60E+12,,,,
0,11,2.4,-25.25,16
1,11,2.4,-30,14
2,12,-10.4,-14,13
3,12.8,-10.6,-10.25,19
4,12.8,-10.6,-2,17
5,13.6,2.6,-25,10
6,13.6,2.6,-20.25,11
7,19.6,-10.6,-9,18
8,19.6,-10.6,-3,17
9,19.6,-2,29.75,13
10,22.2,-1.4,21.5,16
11,22.2,-1.4,30,15
12,24.6,0.6,8.25,19
13,27.2,-1,14.25,20
14,37.4,3.8,-13.5,13
15,43.6,-10.6,-3.75,17
16,51.2,-10.6,-3.5,17
17,51.2,-10.6,4,15
18,55.4,2.8,-0.25,20
19,58,2.8,0,10
20,59,-10.6,-2.75,8
21,59,-10.6,5,7
22,66.6,-10.6,0,13
23,72.6,-10.4,12.75,15
24,80.2,0.8,-4,17
25,87,1.4,0.25,16
26,87.8,0.6,-4.75,9
27,88,-10.6,-0.25,7
28,90.4,1.4,1.25,11
29,91.4,0.8,-2,12
30,94.8,0.8,-4,8
31,95.6,-10.6,8.25,10
32,102.4,4.8,-3.5,15
33,102.6,-10.8,6,0
34,109.2,4.8,-3,15
35,122,1.6,1.75,14
36,129.8,-10.6,5.25,9
37,142.6,-10.6,3.75,10
38,158,-10.6,4.75,15
39,1024,2.4,-25.5,14
40,11.2,2.4,-27.75,15
41,11.8,-10.4,-10.25,12
42,12.8,2.4,-25.25,15
43,11.8,5.4,-25.75,4
44,13.2,37.2,-23.5,14
45,15.2,-10.6,-7,13
46,18.6,-10.6,-4.25,2
47,18.6,-2,30.25,14
48,19.6,-10.6,-6,6
49,19.2,-2,31.75,14
50,21.2,-1.8,26,14
51,22.4,-1.4,22,15
52,22.6,0.6,8.75,13
53,23.2,-1.4,22.75,13
54,24.2,0.6,10.25,12
55,24.2,-1.4,21.25,14
56,25.2,0.6,9,9
57,25.6,-8.4,39.75,4
58,27.2,-10.6,-3.5,0
59,26.6,-1,17.5,15
60,27.8,-1,16.25,15
61,32.2,-10.2,29.25,12
62,37.8,3.8,-12.25,15
63,43.6,-10.6,-2,12
64,48.8,-10.4,14.75,14
65,49.8,-10.4,14,13
66,51.6,-10.6,0,14
67,55,2.8,0.25,14
68,57.8,-10.6,-1.5,12
69,57.4,2.8,0.75,10
70,59.4,0.8,6.5,13
71,60,1,6.5,11
72,61.8,9.2,-14.25,12
73,79.4,0.6,-4.75,14
74,80.6,0.6,-4.25,15
75,86.4,1,-1,13
76,88.4,1.4,1.75,12
77,102.4,5,-1.25,14
78,106.2,-5,69,12
END,Total:79,,,
START,FrameNb:5148,,,
2020/08/09 14:15:41:691,,,,
1.60E+12,,,,
0,11,2.4,-25.25,16
1,11,2.4,-30,14
2,12,-10.4,-14,13
3,13.6,2.6,-20.25,11
4,13.6,2.6,-25,10
5,19.6,-10.6,-9,18
6,19.6,-10.6,-3,17
7,19.6,-2,29.75,13
8,22.2,-1.6,21.5,16
9,22.2,-1.6,30,15
10,23.8,-1.2,18.25,14
11,23.8,-1.2,24,11
12,24.6,0.6,8.25,19
13,27.2,-1,14.25,20
14,43.6,-10.6,-3.75,17
15,51.2,-10.6,-3.5,17
16,51.2,-10.6,4,15
17,55.4,2.8,-0.25,20
18,64,-10.6,0,10
19,69.2,-10.4,12.25,12
20,71.8,-10.6,-0.75,15
21,81,0.8,-5.25,15
22,85.4,0.6,-4,12
23,85.4,-10.6,9.25,8
24,87.8,0.8,-4,12
25,87.8,1.4,4.25,13
26,90.4,1.4,2.5,14
27,94,-10.6,8.75,8
28,94.8,0.8,-3.5,9
29,103.2,4.8,1.25,11
30,105,-10.8,2,11
31,110,4.8,-2.5,14
32,120.4,-10.6,-5.75,9
33,122,1.6,0.75,16
34,142.6,-10.6,4.75,11
35,157.2,-10.6,5.25,15
36,185.2,2.2,3.5,11
37,1024,-10.6,3.75,10
38,8.6,1.6,-49.75,15
39,11.6,-10.4,-13,12
40,11.4,2.4,-26.25,14
41,12.4,2.4,-25.5,13
42,12.8,5.6,-23.75,1
43,13.8,2.4,-22.75,14
44,17.2,-10.6,-6,2
45,18.4,-1.8,30.25,14
46,20.2,-1.8,27.75,15
47,19.4,-10.6,-5.25,0
48,21.8,-1.6,24,15
49,22.6,0.6,8.75,15
50,23,-1.4,21.5,15
51,24,0.6,10,4
52,24.2,-1.4,21,15
53,25,-8.4,39.75,0
54,25.2,0.6,9.25,6
55,24.8,-10.6,-3.5,11
56,26.8,-1,16.75,14
57,27.2,-10.6,-2,7
58,28.4,-1,15.5,14
59,37.8,3.8,-11.25,13
60,42.8,-10.6,-2,14
61,49.2,-10.4,14.75,14
62,51,-10.6,-0.25,11
63,51,-10.4,14.75,10
64,55.2,2.8,1.25,15
65,56.8,1.4,-8,13
66,59.4,0.8,6.25,15
67,62.6,9.2,-14.5,13
68,79.4,0.6,-4.25,9
69,80.6,0.6,-5,14
70,86,1,-1.25,11
71,88.6,1.4,1.75,14
72,91.2,0.6,-3,12
73,103,5,-2.75,13
END,Total:74,,,
START,FrameNb:5149,,,
2020/08/09 14:15:41:751,,,,
1.60E+12,,,,
0,18.8,-1.8,30,17
1,22.2,-1.6,22,12
2,22.2,-1.6,28.75,11
3,23,0.6,7.25,19
4,23,0.6,13.25,17
5,23,-1.2,19,6
6,25.6,-10.6,-7.25,14
7,25.6,-10.6,0,13
8,27.2,-1,14.25,22
9,35,-10.6,-4.75,20
10,35,-10.6,3,19
11,38.4,3.8,-13.5,15
12,50.4,-10.6,-2.5,19
13,50.4,-10.6,3,17
14,55.4,2.8,0,20
15,59.8,0.8,3.75,20
16,59.8,0.8,11.25,18
17,64,-10.6,0,10
18,69.2,-10.6,12.25,12
19,81,0.8,-5.25,15
20,85.4,-10.4,9.25,8
21,87.8,0.8,-4,12
22,87.8,1.4,4.25,13
23,90.4,1.4,2.5,14
24,94,-10.6,8.75,8
25,94.8,0.8,-3.5,9
26,103.2,4.8,1.25,11
27,105,-10.6,2,11
28,110,4.8,-2.5,14
29,120.4,-10.6,-5.75,9
30,122,1.6,0.75,16
31,142.6,-10.6,4.75,11
32,157.2,-10.6,5.25,15
33,185.2,2.2,3.5,11
34,1024,-10.6,4.75,11
35,11,-10.2,-14,13
36,12,6,-24.75,0
37,11.6,2.4,-25.75,15
38,12.6,2.4,-24.5,13
39,13.8,2.4,-22,13
40,18,-10.6,-7,13
41,18.4,-1.8,30,15
42,19.4,-1.8,29.5,17
43,20.8,-1.8,26,14
44,20.2,0.6,26,3
45,22.4,-1.4,22.75,15
46,22.8,0.6,8.75,13
47,23.4,-1.4,22,5
48,23.8,0.6,9.5,12
49,25.4,-1,18.75,14
50,25.4,0.6,9.75,10
51,25.8,-10.6,-4,12
52,25.8,-8.6,37.5,4
53,27.8,-1,16,14
54,28.4,5.2,34,0
55,35,-10.6,-3.5,13
56,38.2,3.8,-11,14
57,42.2,-10.6,-1.25,15
58,50.2,-10.6,0,12
59,50.2,-10.6,15.5,10
60,55.4,2.8,1,15
61,57,1.4,-7.75,9
62,59.4,1,6.25,14
63,60.6,0.8,9,14
64,63.4,9.2,-14.5,11
65,79.2,0.6,-4,13
66,80.6,0.6,-5,15
67,86.2,1,-1.25,13
68,94.4,0.6,-3,11
69,103,5,-2.25,14
END,Total:70,,,
START,FrameNb:5150,,,
2020/08/09 14:15:41:818,,,,
1.60E+12,,,,
0,11,2.4,-28.5,13
1,11,2.4,-33.5,13
2,17,-10.6,-8.5,19
3,18.8,-1.8,30,17
4,22.2,-10.6,-6.25,0
5,22.2,-1.4,22,12
6,22.2,-1.4,28.75,11
7,23,0.6,7.25,19
8,23,0.6,13.25,17
9,23,-1.2,19,6
10,27.2,-0.8,14.25,22
11,35,-10.6,-4.75,20
12,35,-10.6,3,19
13,38.4,3.8,-13.5,15
14,50.4,-10.6,-2.5,19
15,50.4,-10.6,3,17
16,55.4,2.8,0,20
17,57.2,-10.6,-1.5,9
18,57.2,-10.6,3.5,10
19,59.8,0.8,3.75,20
20,59.8,0.8,11.25,18
21,63.2,-10.6,-1.75,13
22,70,-10.6,0,10
23,78.6,-10.6,-1.75,9
24,81,0.8,-4.75,18
25,86.2,-10.4,13.25,7
26,87,1.4,2,15
27,87.8,0.8,-3,12
28,91.4,0.8,-4,13
29,91.4,1.4,1.75,6
30,93,0.8,-2.5,11
31,94,-10.6,0,8
32,103.2,4.8,-1.75,15
33,103.4,-10.6,-0.25,0
34,110,4.8,-3,14
35,110.2,-10.6,1.25,8
36,122,1.6,1.25,17
37,155.4,-10.6,6,10
38,181,2.2,4.25,12
39,184.4,2.2,4.25,9
40,1024,-10.6,-7,13
41,11.6,2.4,-28.25,14
42,11.4,6.2,-26,0
43,12.4,2.4,-25,14
44,14,2.4,-22,14
45,17.4,-10.6,-8,15
46,18.2,-1.8,29.75,14
47,18.8,-1.8,30,15
48,19.8,-1.8,28.75,14
49,21.4,-1.4,24,13
50,22.2,-1.4,22.75,15
51,22.8,0.6,8.75,14
52,23,-1.4,21.75,6
53,23.6,0.6,9.5,13
54,24.6,0.6,10,5
55,24.4,-1.2,20.5,15
56,25.2,-10.6,-4.25,7
57,25,-1.2,19.5,13
58,26.4,-8.8,35.75,8
59,26.2,0.6,6.75,8
60,27,-9,35.75,4
61,26.8,-1,16.5,14
62,28.2,-10.4,-5,7
63,28.2,-1,14.75,15
64,28.6,5.4,34,8
65,34.4,-10.6,-3.25,13
66,38.6,3.8,-11,13
67,40.4,-10.4,18.75,13
68,49.6,-10.6,0,13
69,55.6,3,0.75,14
70,57.4,3,0,9
71,57.2,-10.6,-1,13
72,59.4,1,6.25,15
73,60.2,1,6.5,15
74,64,9.2,-14,14
75,79.2,0.6,-4,12
76,80.8,0.6,-5.25,14
77,86.4,1,-1.25,9
78,85.8,-10.6,-0.25,9
79,103.4,5,-2,15
END,Total:80,,,
START,FrameNb:5151,,,
2020/08/09 14:15:41:879,,,,
1.60E+12,,,,
0,11,2.4,-26.25,15
1,11,2.4,-36.5,14
2,21.2,-1.4,20.75,19
3,23,0.6,9.75,12
4,23,-1.2,17,17
5,28.2,-0.8,13.5,21
6,33.4,-10.6,-4,18
7,39.2,3.8,-12.25,14
8,56.2,3,-1.5,17
9,56.2,3,2.25,15
10,59.8,0.8,5.5,18
11,63.2,-10.6,-1.75,13
12,64.8,9.2,-14.5,6
13,70,-10.6,0,10
14,81,0.8,-4.75,18
15,86.2,-10.6,13.25,7
16,87,1.4,2,15
17,87.8,0.8,-3,12
18,91.4,0.8,-4,13
19,91.4,1.4,1.75,6
20,93,0.8,-2.5,11
21,94,-10.6,0,8
22,103.2,4.8,-1.75,15
23,103.4,-10.6,-0.25,0
24,110,5,-3,14
25,110.2,-10.6,1.25,8
26,122,1.6,1.25,17
27,155.4,-10.6,6,10
28,184.4,2.2,4.25,9
29,1024,1.4,1.75,6
30,11.8,2.4,-28.25,14
31,12.4,2.4,-26.5,14
32,13.8,2.4,-23.75,13
33,12.4,5,-23.75,9
34,16,-10.6,-7.75,6
35,18.2,-1.8,30,14
36,18.8,-1.8,30.25,15
37,19.8,-1.6,27.75,14
38,21.2,-1.4,24,15
39,22.8,0.6,8.5,12
40,22.2,-1.4,22,10
41,23.4,-8.2,44,0
42,23.2,-1.4,21.75,13
43,24.4,-10.6,-4.5,12
44,24.6,-1.2,21.25,11
45,24.8,0.6,10,7
46,26,-8.8,36.25,10
47,25.8,-1,18.75,11
48,27,-10.6,-2,0
49,26.6,-0.8,16,14
50,28.2,-0.8,15,15
51,29,5.6,34.25,11
52,33.4,-10.6,-3.25,13
53,38.8,3.8,-10.75,14
54,39.8,-10.2,19.5,12
55,48.8,-10.6,-1.25,14
56,56,-10.6,-1.75,11
57,57,95.4,1.75,0
58,55.8,3,0.75,15
59,56.6,3,0,11
60,59.6,1,6,14
61,69.6,-10.6,1.75,10
62,79.4,0.6,-4,14
63,80.8,0.6,-4.75,14
64,85.2,0.6,-3.5,11
65,87.6,1.4,0.25,14
66,87,0.6,-4,12
67,88.8,1.4,2.25,13
68,103.8,5,-3,15
END,Total:69,,,
START,FrameNb:5152,,,
2020/08/09 14:15:41:945,,,,
1.60E+12,,,,
0,11,2.4,-26.25,15
1,11,2.4,-36.5,14
2,21.2,-1.4,20.75,19
3,23,0.6,9.75,12
4,23,-1,17,17
5,24,-10.6,-6.75,0
6,24.8,-10.4,-6,0
7,25.6,0.6,8,18
8,25.6,0.6,16,16
9,28.2,-0.8,13.5,21
10,33.4,-10.6,-4,18
11,39.2,3.8,-12.25,14
12,40.2,-10.6,-4.75,16
13,40.2,-10.6,3,15
14,55.6,-10.6,-3.75,10
15,56.2,3,-1.5,17
16,56.2,3,2.25,15
17,59.8,0.8,5.5,18
18,61.6,-10.6,1.75,6
19,64.8,9.4,-12.75,10
20,66.6,-10.6,11.75,9
21,81,0.8,-4.25,18
22,84.6,-10.6,0.25,16
23,87.8,1.2,2,16
24,88.8,0.8,-4,16
25,91.4,-10.6,2,5
26,100,-10.6,-0.75,9
27,104,4.8,-4.75,18
28,110.2,-10.6,4.25,11
29,111,5,1.25,9
30,113.6,-10.6,7,11
31,122,1.6,1.25,16
32,181.8,2.2,4.25,14
33,1024,5,-23.75,9
34,12,2.4,-27.5,14
35,12.6,5.6,-23.75,0
36,11.8,-10.4,-8.5,0
37,12.6,2.4,-26.25,14
38,13.8,37.6,-22,12
39,14.6,-10.6,-6.75,1
40,14,2.4,-23.25,14
41,15.6,-10.6,-7,15
42,17,-10.4,-8,0
43,18,-1.8,29.5,15
44,18.8,-1.8,31,16
45,19.6,-1.6,27.25,16
46,20.8,-1.4,24,16
47,22,-1.4,22.25,15
48,22.6,-1.4,21.75,15
49,23.2,-1.4,23,13
50,22.8,-8,44.5,0
51,22.8,0.6,8.5,14
52,23.8,-10.6,-5,9
53,24.8,-1,20,14
54,25.4,-1,18,14
55,25.6,-8.8,37.5,7
56,26.2,-10.6,-2.75,0
57,27,-1,16.75,12
58,26,0.6,9,14
59,32.4,-10.6,-3.75,13
60,39.2,-10.2,20,3
61,39,3.8,-10.75,13
62,40.2,-10.6,-1.5,14
63,54.2,-10.6,-2.5,9
64,55.2,-10.6,2.25,12
65,56,3,1,15
66,56.8,3,0.25,12
67,59.6,1,6,15
68,79.6,0.6,-4.5,14
69,80.8,0.8,-4.25,13
70,86.4,1,-1,14
71,88.2,1.4,2,13
72,88.8,0.6,-4,11
73,104,5,-1.75,10
74,104.8,-5,66.25,7
END,Total:75,,,
START,FrameNb:5153,,,
2020/08/09 14:15:42:008,,,,
1.60E+12,,,,
0,11.8,2.4,-22.75,15
1,11.8,2.4,-27.5,14
2,12.8,-10.4,-9,17
3,12.8,-10.4,-3,15
4,15.4,-10.4,-10.25,18
5,15.4,-10.4,-6,17
6,17.8,-1.6,29.25,14
7,21.2,-1.4,20.25,20
8,21.2,-1.4,28.75,18
9,23,-10.6,-8,12
10,23,-10.6,-0.25,11
11,25.6,-10.6,-5.5,1
12,25.6,-10.6,2,0
13,25.6,-1,15.75,16
14,32.4,-10.6,-5.5,18
15,32.4,-10.6,-0.25,16
16,39.2,3.8,-12,16
17,53.8,-10.6,-3.25,17
18,53.8,-10.6,1.25,16
19,56.2,3,2.25,20
20,59.8,0.8,4.25,17
21,61.6,-10.6,1.75,6
22,76.8,-10.4,13.25,11
23,81,0.8,-4.25,18
24,82,-10.4,12.75,10
25,84.6,-10.6,0.25,16
26,87.8,1.2,2,16
27,88.8,0.8,-4,16
28,91.4,-10.6,2,5
29,93.2,-10.6,2.5,8
30,94.8,0.8,-3.5,6
31,100,-10.6,-0.75,9
32,101.6,-10.6,2.5,12
33,104,5,-4.75,18
34,110.2,-10.6,4.25,11
35,111,5,1.25,9
36,113.6,-10.6,7,11
37,122,1.6,1.25,16
38,124.6,1.6,0,13
39,163.2,-10.6,3.75,9
40,181.8,2.2,4.25,14
41,186.2,2.2,4.25,10
42,1024,-10.4,-8,0
43,11.4,2.4,-28,15
44,12.2,2.4,-26.75,13
45,11.8,5.8,-25.5,1
46,12,5,-25.75,0
47,13.6,2.4,-24,15
48,12.4,-10.6,-8,4
49,13.2,37.2,-23,14
50,14,-10.6,-6.5,2
51,15.4,-10.4,-8.75,15
52,17.6,-10.6,-6.75,0
53,17.8,-1.6,28.5,14
54,18.6,-1.6,30,15
55,19.4,-1.6,28.5,16
56,20.2,-1.4,25.75,15
57,21.2,-1.4,23,15
58,22.4,-7.8,46,0
59,23.2,-10.6,-5,0
60,22,-1.2,22,14
61,23,0.6,8.5,14
62,22.8,-1.2,22,14
63,24.6,-8.8,38.5,6
64,25.4,-8.8,38,7
65,26.2,0.6,7,12
66,26.8,-1,16.75,15
67,31.8,-10.6,-3.5,13
68,38.6,-10.2,20,13
69,39.4,-10.6,-2,15
70,39.2,3.8,-11,12
71,53.2,-10.6,-0.75,11
72,54.2,-10.6,0,13
73,56.2,3.2,1.5,14
74,57,3.2,0,11
75,56.2,-10.4,13,6
76,59.6,0.8,6.25,14
77,60.6,1,5.75,13
78,79.6,0.6,-4.25,13
79,80.8,0.8,-5.25,14
80,81.8,0.6,-3.25,10
81,87.6,1.4,1.25,15
82,89,1.4,2.25,13
83,104.2,5,-2,14
END,Total:84,,,
START,FrameNb:5154,,,
2020/08/09 14:15:42:077,,,,
1.60E+12,,,,
0,11.8,2.4,-22.75,15
1,11.8,2.4,-27.5,14
2,12.8,-10.4,-9,17
3,12.8,-10.4,-3,15
4,15.4,-10.4,-10.25,18
5,15.4,-10.4,-6,17
6,17.8,-1.6,29.25,14
7,21.2,-1.2,20.25,20
8,21.2,-1.2,28.75,18
9,23,0.6,6.5,18
10,23,0.6,15,16
11,23,-10.4,-8,12
12,23,-10.4,-0.25,11
13,25.6,-0.8,15.75,16
14,32.4,-10.6,-5.5,18
15,32.4,-10.6,-0.25,16
16,39.2,3.8,-12,16
17,47.8,-10.6,4.25,17
18,47.8,-10.6,-2.5,16
19,53.8,-10.4,-3.25,17
20,53.8,-10.4,1.25,16
21,56.2,3.2,2.25,20
